stock,taxa,variable,year,mean,sd,lower,upper,status,U,F,O
Micromesistius.poutassou,Micromesistius poutassou,b_div_bmsy,2018,0.556253241,0.141797365,0.443857412,0.700012463,overfished,0,0,1
Phycis.phycis,Phycis phycis,b_div_bmsy,2018,0.680656656,0.162727715,0.52643817,0.884633292,overfished,0,0,1
Trisopterus.luscus,Trisopterus luscus,b_div_bmsy,2018,0.585070832,0.11107498,0.485326388,0.691847344,overfished,0,0,1
Sphyraena.sphyraena,Sphyraena sphyraena,b_div_bmsy,2018,0.806663082,0.250125952,0.53606628,1.2002598,fully fished,0,1,0
Scomberesox.saurus,Scomberesox saurus,b_div_bmsy,2018,0.643312984,0.267735736,0.41766483,0.986830122,overfished,0,0,1
Trachinotus.ovatus,Trachinotus ovatus,b_div_bmsy,2018,0.709507621,0.267860302,0.45998244,1.098787084,overfished,0,0,1
Trachurus.spp,Trachurus spp,b_div_bmsy,2018,0.65265252,0.227658944,0.457829565,0.931163161,overfished,0,0,1
Scomber.colias,Scomber colias,b_div_bmsy,2018,0.75893802,0.234243546,0.517453021,1.09726698,overfished,0,0,1
Coryphaena.hippurus,Coryphaena hippurus,b_div_bmsy,2018,0.783189788,0.253818856,0.520326154,1.163594927,overfished,0,0,1
Caranx.spp,Caranx spp,b_div_bmsy,2018,0.691207314,0.253740081,0.459330316,1.017026626,overfished,0,0,1
Atherina.boyeri,Atherina boyeri,b_div_bmsy,2018,0.647835209,0.25630793,0.423849756,0.974006847,overfished,0,0,1
